원문,번역문
결과를 받는 대로 업데이트해 주도록 하겠습니다.,We'll update it as soon as we get the result.
나는 그 결말이 마음에 들지 않았어요.,I didn't like the ending.
우리 사이트에는 현재 직경이 6mm인 푸른색 또는 갈색의 렌즈만 판매가 되고 있다.,"Currently, contact lenses with blue or brown 6mm eyes are only sold on our website."
그 이유는 여군이 존재하기 때문이에요.,The reason is that female soldiers exist.
"아니, 그것들은 그들의 것도 내 것도 우리것도 아니야.","No, they aren't theirs, my or ours."
그럼 오늘 저녁에 하시고 싶은 일은 뭐죠?,So what do you feel like doing tonight?
나는 2학기 때 상을 받기로 다짐했어요.,I decide to win the prize in the second semester.
내 생각은 체벌은 교육에 필요해요.,I think that physical punishment is needed for education.
삶의 과장된 부분들을 그대로 받아들이지 말라.,Take life with grain of salt.
우리 쪽 회계사가 보낸 채권채무조회서 이메일에 대한 회신으로 너는 첨부 파일을 보냈었어.,"As a reply to the mail of claim and obligation confirmation letter which our accountant has sent, you sent an attachment."
이 문제에 대해 검토하시고 적극 협조 해주시기 바랍니다.,Please review these matters and give us your active cooperation.
우리는 근사한 식당에서 식사하기 위해 그리로 갔다.,We went there to eat at the fancy restaurant.
우리는 광물 모직물을 자르는 중입니다.,We are in the process of cutting the Mineral wool material.
당신의 계좌에서 수수료가 차감될 것 같아.,The commission fee will be deducted from your account.
이제까지 반영되지 않았던 항목들이 많이 있었어요.,There were a lot of things that previously weren't reflected on the list.
오늘은 할 일이 산더미에요.,I've got loads of things to do today.
"나는 13일 전에 몬테레이, 카르멜 투어를 예약했었어.","I made a reservation for the tour for Monterey, Carmel 13 days ago."
매우 아름다운 섬이고 그 후로 필리핀을 사랑하게 됐어요.,"It's very beautiful island, since then I fall in love with Philippine."
"영국 패션의 특징인 ""실험""은 제게 새로운 시각을 제시할 것이라고 기대하고 있습니다.","I believe English Fashion's characteristics ""Experiment"" will give me a new perspective to look into Fashion."
가족은 전쟁터에서 나를 집으로 돌아오게 합니다.,The family led me back from war to home.
나 언제 이것에 대해서 유코에게 말해야 해요?,When should I tell Yoko about this?
너 나 안 질렸는지 말해줄 수 있어?,Aren't you fed up with me?
우리는 호텔에서 9시에 출발합니다.,We depart from the hotel at 9 o'clock.
그녀는 극도로 흥분해 있어요.,She is frantic.
나는 Jay Kim의 숙소를 예약했습니다.,I booked Jay Kim's dormitory.
한복은 동정과 깃이 직선과 사선으로 이루어진 아름다움을 지니고 있습니다.,Hanbok has beauty that consists of thin white cloth-covered paper collar for Korean traditional clothes and collars consist of straight line and diagonal line.
비가 내려 매출실적이 저조합니다.,The sales performance is not good due to the rain.
너 그럼 나랑 키 바꾸고 싶어?,So you want to change height with me?
나는 한국어를 공부하고 유창하게 말해요.,I study and speak Korean fluently.
저 구름은 가끔 담요처럼 보입니다.,That clouds are seen like a blanket sometimes.
당신의 요구를 우리 경영진에게 꼭 전하겠습니다.,I certainly will refer your request to our management.
나는 바로 은행으로 달려가서 내 통장에 입금했어.,I went straight to the bank and put the money on my account.
여러 가지 색깔은 아이들의 정서를 순화시킵니다.,A variety of colors refine children's emotions.
언니들이 필요한 물건과 선물들입니다.,Those are the necessary things for older sisters and presents.
내일까지만 일하고 한국에 갈 거예요.,"After working until tomorrow, I am going to go to Korea."
이 가게는 일본제품들로 가득 찼어요.,This shop is full of Japanese products.
그래서 일단 그에게 내 가방과 나의 예치를 담보로 맡기고 15000페소를 빌리려고 했습니다.,So I tried to borrow 15000peso from him with my bag and deposit as security.
눈이 닿는 곳까지 광대하게 펼쳐져 있는 옥수수밭 말고는 아무것도 없었습니다.,There was nothing but a vast expanse of cornfields as far as the eye could reach.
이 제품의 업데이트가 제대로 이루어지고 있는 건가요?,Is the update of this product is working properly?
그렇기 때문에 저는 어떤 일이든 자신감이 있습니다.,"Therefore, I am confident in any type of work."
모양도 울퉁불퉁 재미나게 생기고 씹는 질감도 오도독오도독 독특하여 상큼한 바다의 내음을 느낄 수 있는 미더덕이 나는 좋습니다.,"The shape and texture are uneven and interesting, and the texture of the chewing is also unique, making you feel the inner voice of the fresh sea."
마지막으로 책 속 질문 중 여러분께 묻고 싶은 게 있습니다.,"Finally, among all the questions in the book, I want to ask you one question."
그렇다면 삭제해야겠어요.,"If it is, I need to delete it."
그들에게 전화해보고 차가 있는 곳으로 가시면 됩니다.,Give them a call and go to the place where the car is.
저는 강림중공업에 검사 업무를 혼자서 진행하다 보니 힘든 일도 많았습니다.,I’ve suffered from many tough works through the inspection tasks that I’ve been doing in Kanglim Inc.
그들은 이것을 이용한 그것의 분석 방법에 만족합니다.,They are satisfied with its interpretation method used here.
그리고 소희의 경우엔 소속사가 달라.,"And for Sohee's case, she is now in a different agency."
그 상태로 내 차는 100m를 이동했어.,"In that condition, my car moved 100 meters."
만약 그대로 결재가 이루어진다면 3월 4번째 주에 선적을 하시는 건지 확인 부탁드립니다.,"If the payment proceeds accordingly, please confirm that the shipment will be processed in the 4th week of March."
나는 이 실험에 자유 의지로 참여했어요.,I volunteered for this experiment.
무엇보다 가장 기억에 남는 것은 다양한 먹거리를 먹어본 것이었어요.,"The best part, however, was eating all the different types of food."
그저 내가 아닌 나보다 더욱 용감하고 재능이 있는 어느 멋진 사람들이 이 세상을 원래대로 돌려주길 바랄 뿐입니다.,I just hope some great people who are more brave and talented than I return this world to original status.
롤링 기계에서 확인해줄 수 있나요?,Can you check it at the rolling machine?
이제 미션이 완료되었습니다.,Mission is accomplished now.
그는 냉장고에 있는 음료수병을 나란히 정리합니다.,He arranges the bottles inside the refrigerator in line.
"그 사람은 나이는 어리지만, 경험이 많습니다.",He is young but experienced.
그녀는 평판을 쫓아서 갑니다.,She is pursuing a reputation.
우리는 일요일에 교회에 갈 거예요.,We are going to go to church on Sunday.
떡볶이를 드신 후 볶음밥의 별미를 즐기세요.,Enjoy the delicacy of fried rice after you eat Tteokbokki.
그리고 다른 러시아 큰 회사로부터 비즈니스 제안을 받았기 때문에 조만간 우리는 그 회사에 방문할 계획입니다.,"And because we received a business proposal from another big Russian company, we are planning to visit them soon."
따라서 이번 사안은 보증을 첨부하여 진행을 하고 싶습니다.,"Therefore, I would like to proceed with this issue with a guarantee."
이건 그녀가 서울에서 일하고 받은 돈입니다.,This is the money she earned after working in Seoul.
네 말은 원산지 증명서에 'A'라는 문구를 추가해주고 인보이스와 BL에 발송인을 'B'로 바꿔 달라는 거지?,"You mean to add the phrase ""A"" to the certificate of origin and ask the invoice and BL to change SHIPPER to ""B""?"
만약 우리가 불가리아 또는 타국에서 경찰작전을 수행한다면 그 나라에 대한 이해와 분석이 반드시 필요할 거예요.,It is crucial to understand and examine the country first if we are going to launch operations in Bulgaria or any other country.
나중에 긴장하지 않는 모습으로 말할 것이에요.,I will speak without looking nervous later.
우리는 대단히 가까운 사이이에요.,We're very close.
SD카드 슬롯이 메인보드에서 밀려있어요.,The SD card slot has been pushed away from the mainboard.
"우리는 비빔국수, 잔치국수를 판매해요.",We sell bibim-guksu and janchi-guksu.
"나나, 사진 좀 보내 줘요.","Nana, send me some pictures."
이 꿀들은 꿀벌들이 오랫동안 유밀활동을 할 수 없는 환경이 닥쳤을 시 다시 꿀벌 집 안으로 보내집니다.,The honeybees are sent back into the honeybee's home in the event of an environment where they are unable to stay in secret for a long time.
저는 아침으로 스패니쉬 오믈렛을 먹었으면 하는데요.,I want to have a Spanish omelet for breakfast.
2명이 방 1개를 사용할 수 있습니다.,2 people can use 1 room.
나는 오늘 잠을 많이 자서 지금 졸리지 않아.,I slept a lot today so I am not sleepy now.
비가 와서 집에서 텔레비전 보고 오후에 슈퍼마켓에 갔어.,"Because it was raining, I watched TV at home and went to the supermarket in the afternoon."
"만약 당신이 유행을 따르는 옷을 사는 데 돈을 낭비하게 된다면, 당신은 파산할 겁니다.","If you waste your money on buying trendy clothes, you will be broken."
내가 3살 때 있었던 일이에요.,This happened when I was 3 years old.
미래에 한국에서 일해 볼 생각은 없나요?,Are you interested in working in Korea in the future?
안녕하세요 민우가 속한 하이퍼닉스의 김교민 팀장입니다.,"Hello, I am the team leader of Min-Woo's team Hyper Phoenix, Kim Kyo-Min."
저는 내일 피시방에 갈 거예요.,I'm going to go to the PC café tomorrow.
그는 요리 연습을 많이 하여 대회에 나갔다.,"After practicing his cooking skills a lot, he participated in a contest."
나의 짐은 다행히 한국에 잘 도착했네.,My luggage arrived in Korea well fortunately.
안정적인 수입과 번듯한 명함 대신 재미를 택했어요.,"Instead of a stable income and a decent business card, she chose fun."
"간단하게 보일지 모르지만, 이것들은 결코 쉽게 이루어지지 않을 것이에요.","It may seem simple, but these will never be easy."
내 주머니에 들어 있는 게 내가 요즘 피우는 담배야.,What's in my pocket is the cigarette I smoke these days.
이 책의 내용은 죽기 전에 한 남자의 경험담입니다.,This book is about the experiences of a man before his death.
더운 불가마에서 시원한 식혜를 마시는 것도 별미입니다.,It is also nice to drink Korean sweet rice drink in the hot Bulgama Sauna.
마지막으로 확인해야 할 게 있습니까?,Is there anything to check at last?
"우선은 확인 부탁드리며, 지금은 괜찮으니 추후 주문 시 해당 제품 가격을 빼주시기 바랍니다.","Firstly, would you please confirm on this and if it is okay, would you please deduct the price of the corresponding product in the next order?"
네가 말한 사이트가 이거야?,Which website is it?
나는 아직 필리핀 여인을 못 믿는 것 같아.,I still can't believe in a Filipina.
고객은 월요일에 도착할 것을 기대했습니다.,The customer expected to arrive on Monday.
사람은 사람을 신뢰해선 안 됩니다.,People should not believe others.
가게 안에 있던 사람들은 밥 대신 튀김을 싸 먹었습니다.,People inside the restaurant ate the wrapped fries instead of rice.
우리 집 아파트 주차장에 도착했어요.,I arrived at the parking lot in my apartment.
내가 입력한 게 아닙니다.,It is not what I typed.
우리가 제품을 잘 팔 수 있도록 협조를 부탁합니다.,I ask for your cooperation so that we can sell the products well.
나는 다시 홀로 남겨 졌어요.,I was left all alone again.
위에 내 사진을 본 느낌이 궁금해요.,I wonder how you feel about my picture up there.
닭새우를 랍스타와 구별하는 방법은 랍스타는 집게가 크고 닭새우는 집게가 없다는 것입니다.,"The way to distinguish a spiny lobster from a normal lobster is that a lobster has big claws, but a spiny lobster has no claws."
우리는 그것이 만들어진 위치를 도면에서 찾을 수 있습니다.,We can find out the locations it's made on the floor plan.
다른 학우들의 점수는 자세히 모르겠습니다.,I don't know detailedly about other students' scores.
오늘도 행운이 있길 바라요.,I wish you good luck for today.
당신이 제품을 받은 후 추가로 주문해주세요.,Please order more after receiving the products.
미래와 시내에 가서 영화 보려다가 표가 매진되어서 못 봤어.,I was going to watch a movie with Mirae in downtown but we couldn't see a movie because tickets were already sold out.
아침 7시에 도착해서 이제 집에 와서 쉬고 있어요.,I arrived at 7 o clock in the morning and I'm currently taking a breather right now.
내 무언가가 너를 내게서 떠나가게 했지.,Something from me makes you go away from me.
기다리기 원치않으시면 주문 취소부탁드려요.,Please cancel the order if you don't want to wait.
여러 명의 음악가들이 각기 다른 악기를 무대 위에서 연주하고 있습니다.,A lot of musicians are playing each different instruments on the stage.
우리 딸이 술을 많이 마셨어요.,My daughter has drunk a lot.
발효화장품은 다른 기초스킨케어 화장품들을 빠르게 흡수해 강력한 시너지를 발휘합니다.,Fermented cosmetics displays strong synergy by quickly absorbing other basic skincare products.
목요일이면 줄리아의 감기는 좋아질 것입니다.,Julia's cold will be better on Thursday.
구매 고객 수의 비율이 높아 세일즈 프로모션 시 높은 매출액이 발생합니다.,The high percentage of customer consumption creates high profits once sales promotion is executed.
"당신은 정말 재주가 많아요, 정말로요.","You've got a lot of talent, seriously."
어떤 종류의 고기가 맛있어요?,What kind of meat that is delicious?
이것을 추진하게 된 이유는 빠른 경제 성장과 자유를 찾아 주기 위해서였어요.,The reason I promoted this was to gain the fast growth of economy and freedom.
세 번째로 나는 축구경기를 보는 것을 좋아하지 않지만 친구는 축구경기를 보는 것을 좋아해요.,"Third, I don't like watching soccer games but my friend does."
우리는 때때로 두세 시간 잔업 하기도 합니다.,Sometimes we work two or three hours more.
마지막으로 당신이 판넬 레이아웃 구성을 전체적으로 좀 더 명확하게 표현한다면 졸업작품의 완성도를 높일 수 있을 것이에요.,"For the last, it may complement the completeness of your graduation work if you express the overall panel layout constitution more clearly."
보행자는 인도가 있을 때는 차도를 이용하면 안 됩니다.,"If there is a sidewalk for pedestrians, people cannot use the roadway."
나는 어른이 되면 하고 싶은 한 가지 꿈이 있습니다.,I have a dream that I would like to accomplish when I become an adult.
당신은 건강에 신경을 쓰는 편인가요?,Do you care about your health?
"일이 끝나자, 그가 집으로 바로 갔어요.","When the work was done, he went home right away."
나의 이름은 꽃션입니다.,I'm Kkkot-shion.
막상 가도 적어 놓은 것들을 다 못하겠지만 아주 재미있게 놀 수 있을 것 같아.,"I'm sure I won't be able to visit all these places even if I there, but I'm pretty sure I will have a great time."
당신이 좋아하는 영화배우는 누구입니까?,Who are your favorite movie stars?
나는 네가 여행 계획을 세우길 원해.,I want you to plan for the trip.
사무실에서 한 시간 반 거리에 도서관이 있어요.,There is a library one and a half hours away from the office.
그 사람 비행기 타고 오고 있을 거야.,He must be on his way on the plane.
깨끗이 샤워하면 잠을 편하게 잘 수 있어요.,"After a shower, I can have a good sleep."
그녀는 토요일마다 발레 수업을 들어.,She takes a ballet lesson every Saturday.
나는 두 사람 사이에 서 있어.,I'm standing between two people.
"왜냐하면, 나는 그것을 마음으로 판단해야 하기 때문입니다.",Because I have to judge it by my mind.
그녀는 매일 오전에 요가를 합니다.,She does yoga every morning.
경제력 때문에 결혼하지 않는 사람도 있습니다.,Some people don't get married because of financial abilities.
그게 별로면 분홍색도 있어요.,"If you don't like it, there is a pink one."
나는 벌써 집에 도착하여 침대에서 한국 드라마를 보고 있어.,I had already arrived home and watching Korean dramas in the bed.
나 다음 주 월요일부터 기말고사 시험이야.,My final exam will be started next Monday.
나는 특별한 친구와 대화하고 맛있는 음식을 먹으며 휴식했기 때문이에요.,Because I took a rest while eating delicious food and talking with a special friend.
나는 당신의 한국 친구 제이미입니다.,"I am your Korean friend, Jamie."
월요일에 배송 진행하겠습니다.,I will proceed with the delivery on Monday.
며칠간의 트레이닝 기간이 필요해요.,You need some training period for a few days.
내가 여자랑 있을 거라고 생각하니?,Do you think I am with a girl?
요즘 수행 평가 때문에 힘들어요.,I'm having a hard time these days because of the performance test.
나는 고속 열차를 점검하고 수리하는 일을 합니다.,I check-up and repair high-speed trains for my job.
저 앞으로 자주 오겠습니다.,I'll visit frequently from now on.
다음 주 주말에 만나는 거 어때요?,How about hanging out next weekend?
말이 입힌 상처는 칼이 입힌 상처보다 깊어.,A wound made by words is deeper than the one made by swords.
언제 힘든 일에 대해 보람을 느끼시나요?,When do you feel rewarding in doing difficult work?
영어 수준별 수업을 실시하고 있으나 실질적인 효과에 대해서는 크게 느끼지 못하는 것이 사실입니다.,It's obvious that we don't feel the difference between them even though we are proceeding the differentiated learning in English.
아래처럼 새로운 오더를 내려고 합니다.,We would like to make a new order as below.
그녀는 저의 소중한 친구예요.,She is my precious friend.
나는 그 시험에 가까스로 통과했어요.,I passed the test barely.
G사 ONVIF 호환 카메라 등록 절차는 아래 참조 과정이 필요하며 위 출시 일정과는 별개로 진행이 필요해요.,Registration procedure for G Company's ONVIF compatible camera needs to follow the reference below and it needs to be carried out separatly from the release schedule above.
"고속도로를 이용하실 경우 약 7,400원의 주유비가 예상됩니다.","The expected refueling cost is about 7,400 won when you take the expressway."
선금 30%에 대한 입금이 확인이되었나요?,Has the 30% advance payment been confirmed?
이것은 오래 걸리지 않아요.,It doesn't take long.
이 팀 승인을 받기 위한 절차가 어떻게 되는지 궁금하여 이메일 드리고.,Sending this e-mail that we'd like to know the process to get passed.
저는 오늘도 작업실에 가서 하루를 마무리하며 감미로운 노래를 만들어야겠네요.,I'm going back to my workroom and should make some sweet songs finishing my day.
오늘의 아픔이 내일의 행복이 될 것이에요.,Today's suffering will be tomorrow's happiness.
손의 뒤꿈치부분은 무시해도 괜찮은 부위야.,The heel of the hand is negligible part.
어제 우리 같이 갔던 전시회는 내 취향이 아니야.,The exhibition we went together yesterday was not my cup of tea.
"소나 돼지의 머리 부분에 있는 고기로 주로 국밥이나, 탕, 수육, 편육 등의 재료로 쓰입니다.","The head part of beef or pork is mostly used as an ingredient for rice soup, soup, boiled meat, and pressed boiled meat."
삼촌은 사인을 받기 위해 원주민에게 돈을 주고 뒤풀이를 해야 합니다.,Uncle has to give money to natives and do a ceremony to get the signatures.
어떻게 감히 30피트나 되는 길이로 컵에 넣을 수 있니?,How dare you put in a cup a thirty-footer.
그 심판의 판정은 정말 실망이었어.,The referee's judgment was such a disappointment.
라마다 송도호텔은 송도국제도시와 5분 거리에 있고 객실이 많아요.,Ramada Songdo Hotel is located in the 5-minute-long distance from Songdo international City and it has lots of rooms.
나는 그녀가 군인이 된 이유에 관해서 물었어.,I asked her the reason why she had become a soldier.
카발 은 완전한 무료 서비스입니다.,Kaval is a completely free app.
운전할 때 올바른 자세로 시야가 넓어집니다.,Proper posture while driving widens the view.
대중교통은 버스밖에 없나요?,Is there only a bus as public transportation?
고등학교부터 엔지니어 교육을 받으면서 생각한 것은 비전이 무한한 분야라는 걸 느꼈습니다.,"Taking engineering class since I was in high school, I thought this field has an infinite vision."
저는 강아지를 위한 스트릿 스타일 패션 샵을 만들고 싶습니다.,I would like to make a street-style fashion shop for dogs.
너의 일기장에 적혀 있는 번호도 확인이 안 됩니다.,The number written in your diary can't be verified.
"너 너무 피곤해 보여, 일 끝나고 집에서 쉬어.","You look so tired, take a rest at home after work."
구성원을 가장 감명시키는 것이 칭찬이라는 글을 읽은 적 있습니다.,I read somewhere that compliments motivate members of a certain party.
내년에는 자취할 예정입니다.,"Next year, I will live alone."
그리고 나는 당신의 요구 사항을 기준으로 새로운 기계를 제안할 것이에요.,And I am going to propose a new machine by taking your requirements into account.
"너 시간 있을 때, 우리에게 전화해 줄래?","When you have time, will you call us?"
무조건 책을 따르면 안 돼요.,Do not follow books unconditionally.
앞으로 미래에도 소셜네트워크는 크게 발전할 것이며 필요한 도구가 될 것이에요.,"In the future, SNS will continue to grow and improve and become a crucial tool."
"나는 여자 친구가 있었지만, 당신 때문에 만나지 않았어요.",I had a girlfriend but I didn't meet her because of you.
나는 경찰에 도움을 요청했어요.,I asked police for help.
라벨을 당신이 직접 만들어야 합니다.,You have to make the label on your own.
배속기능으로 동영상을 만들었어요.,I created a video using a double-speed function.
"실례합니다, 뭐가 필요하신가요?","Excuse me, what do you need?"
비즈니스 기술이 전혀 없고 번역 시장에 대해 무지한 사람이라고 짐작할 것입니다.,He will be seen as someone who does not have any business skills or knowledge about the translation industry.
단순 변심에 의한 교환 및 환불은 불가능합니다.,There is no exchange or refund without any proper reason.
아무리 강인한 군인이라고 해도 슬픔은 어쩔 수 없는 것 같아.,"No matter how strong a soldier is, he cannot cope with sadness."
당신은 일주일 후부터 색조 화장을 할 수 있습니다.,You can do color make up after a week.
그래서 그 후로 나는 보라색을 좋아하지 않아.,"From that day on, I don't like the purple color."
"일부 호텔에서는 예약해 놓고 나타나지 않는 고객을 예상해, 정원 이상으로 예약을 받는다.","Some hotels overbook customers, considering the possibility of no shows."
그는 철퍼덕하고 넘어졌습니다.,He fell flat.
내가 이 병을 연구실로 가져가서 연구를 해볼게요.,I'll take this bottle to the lab and run some tests.
게다가 제자리에만 있으면 발전이 없다고 생각해.,"Also, I think if you stay in one place, there is no improvement."
가열된 기름에 물이 들어가면 폭발할 수 있기 때문이야.,Because it can be exploded if water goes into boiled oil.
이제 막 6시가 지났습니다.,It's just past six.
여러 가지 재료를 섞은 미트볼을 구웠어요.,I grilled meatball mixed with various ingredients.
다만 외환 당국은 아직 암호화폐의 법적 성질이 정의되지 않아 신고를 보류하고 있습니다.,"However, the foreign exchange authorities have put off the report because the legal nature of the cryptography has not yet been defined."
당신은 대체 어떤 사람인가요?,What kind of person are you?
나는 원숭이 지켜보는 걸 좋아해.,I like to watch monkeys.
그건 내가 여태까지 본 것 중 가장 짧은 붉은 빛이야.,That’s the shortest red light I've ever seen.
앞으로 도착할 물건에 대해서도 클레임이 예상됩니다.,I expected the claims for the items that will arrive later.
이사 23일 전 해당 지역 도시가스 콜센터로 연락하면 됩니다.,You can contact your regional gas call center before 23 days of moving-out.
내 생각에는 그건 불가능해.,I think it's impossible.
난 고민이 많아서 어제 잠을 전혀 못 잤어.,I had so much trouble that I couldn't sleep at all yesterday.
"자신만의 사고를 키워가며 고전을 읽고, 언어를 배우고, 과학을 배웁니다.","Its to read classics, learn languages and study science, developing their own thinking."
와인은 안 주셔도 돼요. 그 대신에 점심을 먹었으면 좋겠습니다.,"You don't have to give wine, I'd like to have lunch instead."
그러나 이러한 방식은 인권침해의 우려가 있습니다.,"However, this way causes concern over the violation of human rights."
선생님이 왜 교실을 이렇게 꾸몄을까요?,Why did the teacher decorate the classroom in this way?
"아니요, 저는 오후에 그 박물관에 갔어요.","No, it was in the afternoon that I visited the Museum."
시청에 도착해서 나와 다른 사람들도 약국을 향했어요.,"After arriving at City Hall, I and the others headed to the pharmacy."
나는 이제 현대 자동차 딜러가 아니야.,I'm not a Hyundai car dealer anymore.
나는 뉴욕 스타일로 머리를 자르겠어요.,I'll have the New York cut.
넌 예전에 한국에 왔던 적이 있어?,Have you ever visited Korea before?
나는 오늘 컴퓨터도 하고 텔레비전도 봤어.,I did a computer and watched TV today.
그는 한국말을 매우 잘했기 때문이에요.,Because he spoke Korean fluently.
당신이 연락이 잘 안 되니까 내 마음이 아주 아파.,My heart breaks because you don't keep in touch with me well.
나는 김 씨와 플레이하는 것보다 더 재미있었어요.,It was much more fun than when playing with Kim.
우리 회사가 계약을 안 한 이유는 간단해요.,The reason why we didn't sign the contract is simple.
"미스터 블랙, 우리의 신입 영업 사원 김 씨를 만나게 하고 싶습니다.","Mr.Black, Id like you to meet Mr.Kim, our new salesman."
수하물 인환증 좀 보여주시겠어요?,Could I see your baggage claim tag?
나가노의 겨울 평균 온도는 어떻게 돼요?,What's the average temperature in winter in Nagano?
당신이 미국에서 제일 좋아하는 야구팀이 어디에요?,What is your favorite baseball team in America?
합정역 4번 출구로 나오면 우체국이 보입니다.,You can see the post office near the exit number 4 of Hapjeong station.
다음 날 아침에 물건이 다 사라져 버렸습니다.,All things disappeared the next morning.
오늘은 사랑하는 나의 조카의 고등학교 졸업식이었어요.,Today was my beloved nephew's high school graduation.
내가 처음 핸드폰을 사용한 건 고등학생 때였습니다.,The first time I used a cell phone was when I was in high school.
일하고 싶은데 먼저 방을 맡아줄 수 있나요?,I would like to work but could you first hold the room?
우리는 9일 오후 3시 이후에 도착할 예정입니다.,We are going to arrive after 3 p.m. on the 9th.
미국에 가면 NBA 경기는 꼭 볼 정도로 전 세계가 사랑하는 스포츠이에요.,NBA games are the most loved games in the world that you should not miss once you visit America.
당신이 무사히 한국에 도착했다니 다행이에요.,It's a relief that you've arrived in Korea safely.
인천을 시작으로 한국을 한 번 여행해보고 갈 생각이에요.,I'm thinking of traveling around Korea starting from Incheon.
두 번째 이유는 자신도 시각장애인임에도 불구하고 점자를 만들기 위해 3년 동안 점자를 연구하여 만들었어요.,The second reason was that even though he was a blind person he studied braille for three years and finally made it.
우리는 잠을 자지 않고 40시간 동안 행군을 했는데 눈까지 오는 바람에 정말 험난한 여정이었습니다.,We walked without sleeping for more than 40 hours and it was a tough journey because it also snowed.
내일 아침 출근이라 10시 이후는 힘들다.,It is hard after 10 o'clock because I will be going to work tomorrow morning.
반복된 실수는 성공을 불러옵니다.,Repeated mistake makes success.
"브라운 씨, 이분이 오 선생이십니다.","Mr.Brown, this is Mr.Oh."
여자가 남자에게 과자나 초콜릿을 줬어.,Women gave men cookies or chocolates.
나의 이상형은 대화가 잘 통하는 사람이에요.,My ideal type is a person with who I can communicate.
우선 나의 실수에 대해 사과합니다.,"First, I apologize for my mistakes."
네가 왜 잠을 못 자는지 말해 줄 수 있어.,I can tell you why you can't go to sleep.
내 친구가 이것들을 저에게 주었어요.,My friend gave me these.
오쿠젠은 여름 선물이라고 생각해요.,I think Ochugen is a summer gift.
그 가게는 매주 일요일에 쉴걸요.,That shop is probably off every Sunday.
그래서 제가 이 주제를 선택하게 된거예요.,That's why I chose this topic.
나는 그것을 좋은 추억으로 생각하고 있어요.,I have it as a good memory.
저녁에는 소주부터 40여 종류의 다양한 맥주도 마실 수 있는 그런 레스토랑입니다.,It is a restaurant where you can drink from soju to 40 other types of beer in the evening.
이거 조금 큰 것 같습니다.,It seems to be a little too big.
내가 마음에 드는 브랜드의 제품을 샀어요.,I bought products from the brand I like.
iOS 사용자는 앱스토어에서 ‘00' 또는 ‘00' 검색한 후 설치해야 합니다.,IOS users can search '00' or '00' on the App Store and install it.
그거 제가 한번 해 보겠습니다.,Let me have a try.
이 노래는 어떻게 부르나요?,How do you sing this song?
이만큼 이나멀리 있는데도 널 믿게 만들어줘서 고마워.,Thank you for making me trust you even though we are so far away.
저는 이번 토론의 사회자를 맡게 된 고재현입니다.,"I am Ko Jae Hyun, today's debate host."
미국으로 유학을 하러 간 친구가 한국으로 놀러 온 기념으로 간 것이에요.,I went there to celebrate my friend who went abroad to the US for studying and visited Korea.
애완용으로 기르기에는 어떤 동물이 제일 좋을 거로 생각하십니까?,What animal do you think makes the best pet?
공증 비용이 많이 든다면 일부 부담할 의향이 있으니 알려달라.,"I will pay some of the notarization fees if it costs a lot, so please let me know."
"아이들의 교육에도 관심이 많고, 엉뚱한 사고를 치고 다니는 남편에게 잔소리해요.",She is interested in education for her children and nags a lot to her husband who makes troubles.
만약 우리에게 규정의 내용에 관하여 구체적인 해석이 필요한 경우에는 사장님이 결정합니다.,"If we need a specific interpretation of the rule, it is in your owner's decision."
분산 학습을 하면 이러한 점을 보완할 수 있다.,We can overcome these issues by distributed practice.
오늘도 거기엔 사람이 많습니다.,It is filled with people again today.
그것의 수량이 바뀌었어도 아래의 일정에는 문제가 없습니다.,There is no problem in the following schedule even if the quantity was changed.
라이선스 획득 기간은 얼마나 걸리나요?,How long does it take to get a license?
앞으로는 아프고 싶을 때는 나에게 허락받고 아파야 해.,From now on you need my permission to be sick.
당신이 이번에 비자 때문에 호주에 가게 된 것은 잘된 일입니다.,It is a good thing for you to go to Australia due to the visa.
긴 소매 티셔츠 위에 반소매 셔츠를 겹쳐 입는 레이어드 스타일은 힙합 패션에 주로 응용됐다.,"The style, which involves wearing a short-sleeved shirt over long-sleeved T-shirts, was usually applied to hip-hop fashion."
나는 내 삶에서 종교의 필요성을 못 느꼈어.,I haven’t felt the necessity of religion in my life.
오늘날 법을 잘 지킨 결과 사회가 안정적으로 돌아갑니다.,We now have a stable society since we kept the law in place.
내가 그 옷을 선물했는데 그녀가 좋아하지 않아요.,"I sent these clothes as a gift, but she didn't like it."
이 모든 일이 하루에 발생했습니다.,This all happened in a day.
너희 방 정말 지저분하구나.,"What a mess, your room guys."
운동하고 땀을 흘리면 기분이 상쾌합니다.,Sweating after exercising makes me feel fresh.
뒷산에서 불어오는 시원한 밤바람이 오늘 마신 매연들을 싹 정화하는듯하네요.,Cool night breeze from the hill seems to clean out all the smoke pollution I have inhaled today.
내가 화요일에 가져다줄게요.,I will take it to you on Tuesday.
저는 판매 중인 비타민 A와 칼슘 제품에 대한 몇 가지 개선점과 비타민C 샘플에 대해 의논하려고 합니다.,"I am about to discuss the improvements in the two selling products Calcium and vitamin A, and vitamin C samples."
당신이 취업을 위해 여러 사이트에서 회사에 대한 정보를 모으다 보면 그 조직이 어떤 문화를 가졌는지 알 수 있습니다.,You can see what culture the organization has when you collect information about the company from various sites for a job.
알고 있는 이쁜 여자가 너밖에 없어.,You are the only pretty girl I know.
"어서오세요, 여기는 최고의 서비스를 제공하는 S 회사 서비스 센터입니다.",Welcome to S Customer Center with the best customer services.
